#{"t_start": 1744150009.0741644, "env_id": "RouterEnv-v0"}
r,l,t
-24.525812,400,3.475161
-35.034515,400,4.641107
-11.585514,400,5.569861
-24.09348,400,6.467563
-114.596013,400,7.17286
41.035794,400,10.814014
-76.756498,400,11.979067
-4497.809614,400,13.028821
-122.840247,400,14.34462
-868.618597,400,15.678595
-15.966676,400,18.608508
4.901089,400,19.238977
-94.112134,400,19.974796
-2772.200671,400,20.633974
-487.676166,400,21.304364
-107.300088,400,23.708398
67.72873,400,24.350409
-1.483674,400,24.959882
-1311.151863,400,25.781169
-286.018251,400,26.516486
-818.58051,400,28.461434
-60.991801,400,29.365003
-60.509966,400,30.143519
-3471.340681,400,30.916232
-15.178149,400,31.561466
1.047182,400,33.504653
-151.544502,400,34.344128
-866.044853,400,35.226083
-105.45393,400,36.199102
-110.318025,400,37.385636
6.181811,400,39.672504
-74.37219,400,40.255528
30.22075,400,40.845472
3.923633,400,41.45434
52.791183,400,42.023488
-14.104277,400,43.578488
-1.29688,400,44.256915
-4131.874053,400,44.909714
-1278.374043,400,45.682965
-809.374499,400,46.355018
102.919748,400,47.932667
-1502.854995,400,48.759529
102.475223,400,49.60028
133.346503,400,50.245347
-9.672316,400,51.24782
19.644106,400,52.190372
71.413357,400,54.07085
-3.071834,400,54.886531
-25.591967,400,55.688858
96.694094,400,56.37884
-3.077865,400,57.211735
41.671316,400,59.043694
48.152143,400,59.712889
94.346096,400,60.470333
75.769669,400,61.138912
-1066.364983,400,62.054963
76.610675,400,63.886745
-1124.840985,400,64.813676
77.923957,400,65.615466
-100.633086,400,66.407348
100.624728,400,67.205297
122.560019,400,68.919987
-27.216245,400,69.712907
-728.833474,400,70.420488
72.146409,400,70.981719
-38.789422,400,71.718526
5.757935,400,73.374884
-32.133724,400,74.053591
33.204091,400,74.69762
33.681367,400,75.29838
-53.071434,400,76.004949
-15.968941,400,77.788993
3.189494,400,78.530037
42.470406,400,79.244437
112.979499,400,79.962443
179.442592,400,80.555546
83.337798,400,82.390966
124.286845,400,83.157646
-6593.296792,400,83.96338
-1034.532421,400,84.576359
189.102246,400,85.25201
94.445392,400,86.94798
194.028478,400,87.509608
145.332228,400,88.044785
97.521429,400,88.728722
63.764951,400,89.377537
146.019524,400,89.926414
39.589304,400,91.63873
-440.360618,400,92.20091
254.622422,400,92.711315
125.890738,400,93.331857
161.312182,400,93.855653
173.134718,400,95.330542
81.378639,400,95.906164
66.682884,400,96.621382
186.240717,400,97.150141
-501.831566,400,97.924073
112.33303,400,99.577997
155.307131,400,100.143193
-39.330009,400,100.911791
68.59377,400,101.563809
-290.907603,400,102.258013
120.261311,400,103.823197
113.843373,400,104.491127
136.871274,400,105.043792
-263.420431,400,105.615883
-4436.98604,400,106.339612
104.056671,400,107.891514
85.228921,400,108.498469
-3441.208662,400,109.207905
-229.828075,400,109.86311
90.00541,400,110.476934
-13.411285,400,112.052964
-173.22115,400,112.704212
78.960526,400,113.389947
-19.230048,400,114.124907
94.060711,400,114.776056
15.514951,400,116.501926
91.063071,400,117.179004
135.40976,400,117.766751
7.037273,400,118.537017
132.496127,400,119.094961
-1.766987,400,120.801758
81.310868,400,121.502607
82.170304,400,122.215803
97.417412,400,122.878365
125.984846,400,123.522046
82.816186,400,124.206834
204.27691,400,125.959354
-3532.437017,400,126.665919
116.356274,400,127.308566
22.513754,400,128.114431
-1624.226186,400,128.871471
198.543892,400,130.530145
-24.22529,400,131.365908
105.495483,400,132.009214
37.068015,400,132.720552
113.753599,400,133.333249
-695.431146,400,135.073888
126.484829,400,135.773309
118.6749,400,136.593106
194.020129,400,137.212269
77.99013,400,137.967233
192.631832,400,139.586628
110.280146,400,140.258332
119.920599,400,140.875942
197.308849,400,141.466938
147.2701,400,142.141681
165.461938,400,143.7947
247.580931,400,144.346314
48.72376,400,145.080382
212.560224,400,145.706846
192.816796,400,146.314146
98.857354,400,148.259126
-296.321509,400,148.919925
218.996626,400,149.463564
180.673325,400,150.07704
199.176802,400,150.665189
143.335651,400,152.174598
164.189186,400,152.894769
-503.98536,400,153.749982
225.64248,400,154.403168
-237.262915,400,155.108269
93.977325,400,156.798611
158.159163,400,157.547686
201.798217,400,158.182125
103.794907,400,158.864145
139.285175,400,159.528609
-239.17739,400,161.165703
19.179294,400,161.947917
117.542225,400,162.661145
99.767242,400,163.373807
302.510561,400,163.84998
206.231225,400,164.480952
80.168598,400,166.216026
-196.5282,400,166.85561
6.701913,400,167.663749
134.062321,400,168.335142
143.427978,400,168.984159
61.657618,400,170.697302
112.675482,400,171.461201
202.719254,400,172.084
44.917833,400,172.853206
155.421812,400,173.512537
183.89562,400,175.071345
151.268632,400,175.738885
36.624035,400,176.463784
135.550674,400,177.152415
92.498458,400,177.895304
174.510105,400,179.505544
40.583841,400,180.233154
131.218782,400,180.924517
179.234408,400,181.615285
160.479011,400,182.519933
163.52825,400,185.186849
188.190448,400,186.175855
190.207519,400,187.136922
-188.26988,400,188.348473
-1499.242322,400,189.519835
168.354462,400,192.734858
158.435153,400,193.83363
251.44275,400,194.565442
-219.803431,400,195.525972
158.504075,400,196.323475
-124.945602,400,198.589357
134.127292,400,199.509859
-244.110864,400,200.306783
176.957335,400,201.017727
172.187902,400,201.728306
204.766055,400,203.669847
113.802631,400,204.518846
158.270446,400,205.187165
179.613564,400,205.804801
155.419466,400,206.434219
154.319283,400,207.11526
222.500183,400,208.918824
-71.441548,400,209.488233
173.54709,400,210.125968
159.011606,400,210.800355
184.697346,400,211.447121
144.779021,400,212.945576
320.534462,400,213.527255
-257.453296,400,214.205557
-1810.358725,400,214.966479
-183.689154,400,215.730671
203.535985,400,217.417082
-532.026371,400,218.188012
-224.687572,400,218.941598
71.456121,400,219.718897
104.256197,400,220.410494
-439.81221,400,222.057775
-474.40417,400,222.889601
210.876498,400,223.443135
130.856678,400,224.119107
155.000886,400,224.737242
64.291377,400,226.399246
193.431186,400,227.049326
117.347969,400,227.78358
176.425893,400,228.443381
-1091.977622,400,229.148896
99.856801,400,231.002759
190.233974,400,231.762183
-192.624062,400,232.510288
255.412894,400,233.141845
82.901914,400,233.905763
5.827412,400,235.516652
188.715181,400,236.137442
203.703442,400,236.794599
187.120124,400,237.506359
30.11251,400,238.288534
245.680314,400,239.747249
209.252354,400,240.415195
230.630855,400,241.057047
197.189967,400,241.777166
180.50503,400,242.465981
162.905422,400,243.183883
50.071407,400,244.855476
245.450321,400,245.50798
191.142717,400,246.18393
129.212422,400,246.895013
137.850529,400,247.602192
157.914302,400,249.17856
-78.315618,400,249.818123
155.004514,400,250.551554
87.789701,400,251.314939
190.768106,400,251.989741
207.181699,400,253.580801
212.838609,400,254.220724
-175.028701,400,254.917813
174.370338,400,255.636767
-3484.805249,400,256.318599
168.639534,400,257.968602
234.741539,400,258.609361
35.698034,400,259.555881
149.354494,400,260.399362
181.466766,400,261.140145
246.379797,400,262.747269
199.610697,400,263.426042
222.161055,400,264.030893
-4401.967742,400,264.72372
119.246784,400,265.449448
255.25456,400,267.04619
186.661776,400,267.801688
179.662625,400,268.558353
195.200986,400,269.251528
224.044986,400,269.928407
193.492958,400,271.581747
88.373422,400,272.414278
157.652302,400,273.081061
156.905112,400,273.793495
219.426142,400,274.454268
73.675385,400,276.254771
147.796818,400,277.033589
239.144941,400,277.647937
240.379843,400,278.370189
-605.804121,400,279.12662
119.974342,400,280.850232
101.469985,400,281.610337
188.037363,400,282.284042
193.259709,400,283.025152
207.543809,400,283.765193
81.216514,400,284.544605
153.670966,400,286.243514
147.646798,400,286.981683
246.34378,400,287.635295
222.957462,400,288.344736
111.560381,400,289.152941
-157.599395,400,290.912491
148.106966,400,291.806096
109.882666,400,292.652494
101.087432,400,293.534917
135.970044,400,294.36691
199.53915,400,295.999593
115.831694,400,296.792802
239.627842,400,297.430216
210.710517,400,298.073649
-210.651446,400,298.838964
-287.227831,400,300.484341
-126.912956,400,301.169216
65.421486,400,301.969295
187.593697,400,302.683216
198.538486,400,303.337366
142.56978,400,305.076665
-1768.138157,400,305.893449
318.594514,400,306.473933
89.683054,400,307.271052
-12.857938,400,308.159796
189.344374,400,310.060401
126.766766,400,310.842391
189.332023,400,311.708417
247.560814,400,312.379758
120.010327,400,313.137209
232.11727,400,314.785319
152.120771,400,315.574214
265.505358,400,316.299406
109.342003,400,317.230192
122.654872,400,317.989531
236.583214,400,319.573971
200.87981,400,320.281193
67.450052,400,321.08274
58.193255,400,321.873518
191.383222,400,322.559065
162.756695,400,323.232367
-289.469496,400,324.852742
281.076322,400,325.388572
166.745746,400,326.066437
38.312278,400,326.938295
-381.371372,400,327.801873
228.720881,400,329.355925
171.405942,400,330.137294
172.243958,400,330.902858
258.587593,400,331.506178
323.256898,400,332.089884
193.888118,400,333.866264
127.446182,400,334.70391
249.547245,400,335.356647
217.79291,400,336.071697
102.392938,400,336.854364
197.430831,400,338.490165
102.097029,400,339.187057
228.259259,400,339.917546
260.718113,400,340.537416
181.10229,400,341.277436
274.01453,400,342.937124
2.055044,400,343.798348
202.866106,400,344.471589
80.398284,400,345.186872
80.13649,400,345.890615
-268.395953,400,347.563737
-201.158846,400,348.285284
95.191702,400,349.035113
-339.595291,400,349.901705
-168.968103,400,350.629223
-199.104462,400,352.443686
-214.986722,400,353.281444
146.627354,400,353.997632
136.170109,400,354.701903
158.002056,400,355.393117
-342.049649,400,357.125997
201.42975,400,357.790103
109.901708,400,358.602789
85.154666,400,359.42167
131.120389,400,360.135708
175.498254,400,360.805834
-370.582168,400,362.57211
256.926537,400,363.253107
286.052279,400,363.833718
232.242994,400,364.561898
176.680646,400,365.318161
102.176767,400,366.973196
220.466854,400,367.636236
76.972999,400,368.424338
-1037.483246,400,369.251748
166.777209,400,369.758077
215.04459,400,371.340536
138.856727,400,372.037943
143.254502,400,372.780201
-258.509199,400,373.499136
-144.30726,400,374.143742
-290.989626,400,375.765217
121.299718,400,376.508018
116.271079,400,377.25788
-645.611358,400,377.97167
202.527667,400,378.629567
163.823329,400,380.433526
137.41379,400,381.175044
146.436709,400,381.908926
203.988116,400,382.725373
-231.53001,400,383.610348
157.61989,400,385.304198
66.796146,400,386.263155
24.580834,400,386.84534
122.029069,400,387.570655
-68.130978,400,388.194687
192.492614,400,389.798443
152.760522,400,390.48396
138.9869,400,391.151774
121.624934,400,391.909105
206.254402,400,392.534757
219.090328,400,394.192743
242.596082,400,394.853718
-182.343017,400,395.613753
73.720552,400,396.444192
97.851536,400,397.316026
59.042426,400,399.060567
81.025228,400,399.906363
212.654856,400,400.580313
